Timestamp,Detected Animals,Category,Twilio Status
25-May-2025 09:45:34 PM,Elephant,Most Dangerous,Alert sent
25-May-2025 09:56:34 PM,Horse,Less Dangerous,Alert sent
25-May-2025 09:56:38 PM,Bear,Most Dangerous,Alert sent
25-May-2025 09:57:24 PM,"Bear, Elephant",Most Dangerous,Alert sent
25-May-2025 10:02:41 PM,"Sheep, Horse",Less Dangerous,Alert sent
25-May-2025 10:04:43 PM,Giraffe,Most Dangerous,Alert sent
26-May-2025 12:26:16 PM,Elephant,Most Dangerous,Alert sent
26-May-2025 12:27:03 PM,Horse,Less Dangerous,Alert sent
26-May-2025 10:54:51 PM,Sheep,Less Dangerous,Alert sent
26-May-2025 11:01:46 PM,Bear,Most Dangerous,Alert sent
27-May-2025 07:42:21 PM,Horse,Less Dangerous,Alert sent
27-May-2025 11:38:07 PM,Horse,Less Dangerous,Alert sent
27-May-2025 11:38:11 PM,Horse,Less Dangerous,Alert sent
27-May-2025 11:38:14 PM,Horse,Less Dangerous,Alert sent
27-May-2025 11:38:18 PM,Horse,Less Dangerous,Alert sent
27-May-2025 11:38:25 PM,Giraffe,Most Dangerous,Alert sent
27-May-2025 11:38:30 PM,Giraffe,Most Dangerous,Alert sent
27-May-2025 11:38:30 PM,Horse,Less Dangerous,Alert sent
27-May-2025 11:38:33 PM,Horse,Less Dangerous,Alert sent
30-May-2025 09:21:27 AM,Bear,Most Dangerous,Alert sent
30-May-2025 09:21:32 AM,Zebra,Less Dangerous,Alert sent
30-May-2025 09:28:44 AM,Giraffe,Most Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/AC810de327fde5332b3dd83fb2834d64b0/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE99149D0>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:44 AM,Giraffe,Most Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/AC810de327fde5332b3dd83fb2834d64b0/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9914AF0>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:48 AM,Sheep,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE99157B0>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:49 AM,Sheep,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE99150F0>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:50 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE99166E0>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:51 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9916B00>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:51 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9917A60>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:51 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9916DA0>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:51 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE99153F0>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:52 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE99168F0>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:52 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9916860>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:52 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9917D60>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:53 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9914E50>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:53 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE99178E0>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:53 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9916470>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:54 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9916140>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:54 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9915F60>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:54 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9915540>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:54 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9915690>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:55 AM,Horse,Less Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/ACbc1f3b16c4ae83eb580d3b68082b2f8b/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9916170>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
30-May-2025 09:28:55 AM,Elephant,Most Dangerous,"Failed: HTTPSConnectionPool(host='api.twilio.com', port=443): Max retries exceeded with url: /2010-04-01/Accounts/AC810de327fde5332b3dd83fb2834d64b0/Messages.json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000021EE9917D90>: Failed to resolve 'api.twilio.com' ([Errno 11001] getaddrinfo failed)""))"
